dataset,model,prompt_id,accuracy,precision,recall,macro_f1,average_latency,average_tokens,total_questions
medqa,qwen3-8b,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,0.6111547525530243,0.609702375777813,0.6065373202003495,0.6072276031862752,0.21567016743680092,2.0,1273
pubmedqa,qwen3-8b,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,0.745,0.5829800851300734,0.5897543742025347,0.5838561502420142,0.26347618183118177,2.0,1000
medmcqa,qwen3-8b,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,0.5409992828113794,0.5448246545477998,0.5260972541605737,0.5315907097331606,0.16578151062456825,2.0,4183
